Cod,N,S,B,H,N_std,S_std,B_std,H_std,native_std,cc_index_std
AR_06_R_2,31,15,3187.9056060606063,2.3972955320666562,25,72.22222222222221,15.240845918020263,92.36483476847637,1,41.16558058174377
AR_06_R_3,39,13,3306.741666666667,2.167415729730385,31.896551724137932,61.111111111111114,15.936495392525599,82.21850631811061,1,38.432532909177056
AR_10_D_1,24,12,3519.7599999999998,2.3152501269136425,18.96551724137931,55.55555555555556,17.18347455766782,88.74355260246827,1,36.28961999141419
AR_10_D_2,70,20,13345.723333333333,2.424973760188893,58.620689655172406,100,74.7032727946808,93.58648360668776,1,65.5820892113082
AR_10_D_3,25,11,4161.37,2.1924759563043477,19.82758620689655,50,20.939368661368924,83.32460301419206,1,35.01831157649151
AR_10_R_1,30,11,6103.68,1.985231411071863,24.137931034482758,50,32.309376417731336,74.17733907840915,1,36.324929306124645
AR_10_R_2,58,12,5743.7,1.865375830605237,48.275862068965516,55.55555555555556,30.20210446210358,68.88720887269099,1,40.78414619186313
AR_10_R_3,43,7,5672.2699999999995,1.6588020770285996,35.3448275862069,27.77777777777778,29.78396335484626,59.76955202893105,1,30.735224149552398
AR_11_D_1,38,14,16255.836666666666,2.3786201994102125,31.03448275862069,66.66666666666666,91.73866424707184,91.54055156861986,1,56.39607304819581
AR_11_D_2,37,14,6209.528925438596,2.374677160670515,30.17241379310345,66.66666666666666,32.929001041627345,91.3665155474519,1,44.426919409769866
AR_11_D_3,32,10,7591.0160000000005,1.8598229372611448,25.862068965517242,44.44444444444444,41.016030791295314,68.64211783317202,1,36.1929324068858
AR_11_R_1,48,16,4992.7266666666665,2.321367276084995,39.6551724137931,77.77777777777779,25.80601288824496,89.01354850485569,1,46.65050231693431
AR_11_R_2,33,13,6525.939444444444,2.141103934309389,26.72413793103448,61.111111111111114,34.781223423889266,81.05716845481398,1,40.934728184169764
AR_11_R_3,73,9,4068.5003777777783,0.8738056945604276,61.206896551724135,38.88888888888889,20.39572304094937,25.121744575103648,1,29.32265061133321
AR_16_D_1,28,11,9598.04,1.8442720882566566,22.413793103448278,50,52.76486514173655,67.9557416484093,1,38.82687997871883
AR_16_D_2,36,12,7894.78,2.0809472120552086,29.310344827586203,55.55555555555556,42.79422224173508,78.40199885624487,1,41.412424296224344
AR_16_D_3,29,10,6030.08,1.8523132455771425,23.275862068965516,44.44444444444444,31.878532437692993,68.3106585330835,1,33.78189949683728
AR_16_R_1,28,13,6611.96,2.413303860777408,22.413793103448278,61.111111111111114,35.28477557770265,93.07140298103779,1,42.57621655465997
AR_16_R_2,43,17,5862.08,2.4212456040662036,35.3448275862069,83.33333333333334,30.895084222388082,93.42193197513679,1,48.799035423413024
AR_16_R_3,25,14,9130.01,2.5115946800294893,19.82758620689655,66.66666666666666,50.0250837833487,97.40971772488074,1,46.98581087635853
AR_17_D_1,24,7,4921.633333333333,1.7117327410493703,18.96551724137931,27.77777777777778,25.389842579990535,62.10578120954037,1,27.0477837617376
AR_17_D_2,17,8,5433.631666666667,1.870568889415637,12.931034482758621,33.33333333333333,28.38700833687004,69.11641770190037,1,28.95355877097247
AR_17_D_3,29,9,6539.566666666667,1.8303312888565786,23.275862068965516,38.88888888888889,34.860995253496455,67.34042908881807,1,33.07323506003379
AR_17_R_1,24,11,7464.575625,2.282174095733918,18.96551724137931,50,40.27586673691297,87.28365802811543,1,39.50500840128154
AR_17_R_2,28,12,10334.105,2.2859319511147946,22.413793103448278,55.55555555555556,57.07368544291755,87.44952051179537,1,44.698510922743345
AR_17_R_3,23,9,7390.057083333333,2.0880919427638154,18.103448275862068,38.88888888888889,39.83964574400101,78.7173496775097,1,35.30986651725233
AR_96_D_1,27,6,5180.285714285714,1.4858628765891237,21.551724137931032,22.22222222222222,26.90395699922854,52.136441543496716,1,24.7628689805757
AR_96_D_2,16,3,5203.700000000001,0.46341355882642993,12.068965517241379,5.555555555555555,27.041020912909225,7.008046197578867,1,10.534717636657003
AR_96_D_3,15,8,5737.4,1.9913464134109882,11.206896551724139,33.33333333333333,30.165225154029645,74.44724022490814,1,30.030539052799053
AR_96_R_1,11,4,2263.75,1.2406842919533958,7.758620689655173,11.11111111111111,9.830969837994468,41.31486251207353,1,14.203112830166855
AR_96_R_2,11,4,1342.82,1.1209503926735833,7.758620689655173,11.11111111111111,4.43997599918046,36.0301030143301,1,12.06796216285537
AR_96_R_3,2,2,682,0.6931471805599453,0,0,0.5716292751459805,17.14792259607423,1,3.7439103742440425
AR_97_D_1,33,11,4836.600357142857,1.9992211698510796,26.72413793103448,50,24.89207157596322,74.79481258444464,1,35.482204418288475
AR_97_D_2,25,7,3737.6178571428572,1.6107743659691276,19.82758620689655,27.77777777777778,18.45878361003268,57.64972711966898,1,24.942774942875197
AR_97_D_3,19,7,4312.178063909774,1.785262043666377,14.655172413793101,27.77777777777778,21.82217771675974,65.35118357850166,1,26.121262297366457
AR_97_R_1,44,10,3521.2566666666667,1.7287300093165765,36.206896551724135,44.44444444444444,17.19223583244306,62.85599877909341,1,32.33991512154101
AR_97_R_2,52,6,2863.346666666667,1.0032868070532042,43.103448275862064,22.22222222222222,13.340923836423684,30.836722063855305,1,22.100663279672656
AR_97_R_3,26,6,2474.536666666667,1.279614564908273,20.689655172413794,22.22222222222222,11.064885142419499,43.03314890369295,1,19.601982288149692
CN_10_D_1,4,4,897.04,1.3862943611198906,1.7241379310344827,11.11111111111111,1.8304429907362685,47.74173243465404,1,12.68148489350718
CN_10_D_2,9,5,847.49,1.4270610433807247,6.0344827586206895,16.666666666666664,1.540384305805564,49.54107341131391,1,14.956521428481366
CN_10_D_3,4,3,638.7900000000001,1.0397207708399179,1.7241379310344827,5.555555555555555,0.31868405262618754,32.44482751536413,1,8.208641010916072
